[2014/05/02 01:00:23] Scheduled ASAP backup.
[2014/05/02 01:01:27] Begining Backup.
[2014/05/02 01:01:27] SQL file created: /srv/www/vvv-ass/wordpress-plugins/htdocs/wp-content/upgrade/dreamobject-db-backup.sql (676 kB).
[2014/05/02 01:01:27] SQL filename added to zip.
[2014/05/02 01:01:27] Creating zip file ...
[2014/05/02 01:01:27] Calculating zip file size ...
[2014/05/02 01:01:27] Zip file generated: /srv/www/vvv-ass/wordpress-plugins/htdocs/wp-content/upgrade/dreamobject-backups.zip (133 kB).
[2014/05/02 01:01:27] New filename local.plugins.dev/2014-05-02-010127.zip.
[2014/05/02 01:04:55] Begining Backup.
[2014/05/02 01:04:55] SQL file created: /srv/www/vvv-ass/wordpress-plugins/htdocs/wp-content/upgrade/dreamobject-db-backup.sql (676 kB).
[2014/05/02 01:04:55] SQL filename added to zip.
[2014/05/02 01:04:55] Creating zip file ...
[2014/05/02 01:04:55] Calculating zip file size ...
[2014/05/02 01:04:55] Zip file generated: /srv/www/vvv-ass/wordpress-plugins/htdocs/wp-content/upgrade/dreamobject-backups.zip (133 kB).
[2014/05/02 01:04:56] New filename local.plugins.dev/2014-05-02-010456.zip.
[2014/05/02 01:05:24] Begining Backup.
[2014/05/02 01:05:24] SQL file created: /srv/www/vvv-ass/wordpress-plugins/htdocs/wp-content/upgrade/dreamobject-db-backup.sql (676 kB).
[2014/05/02 01:05:24] SQL filename added to zip.
[2014/05/02 01:05:24] Creating zip file ...
[2014/05/02 01:05:25] Calculating zip file size ...
[2014/05/02 01:05:25] Zip file generated: /srv/www/vvv-ass/wordpress-plugins/htdocs/wp-content/upgrade/dreamobject-backups.zip (133 kB).
[2014/05/02 01:05:25] New filename local.plugins.dev/2014-05-02-010525.zip.
[2014/05/02 01:05:27] File failed to create /srv/www/vvv-ass/wordpress-plugins/htdocs/wp-content/upgrade/dreamobject-backups.zip in DreamObjects as local.plugins.dev/2014-05-02-010525.zip. Status: .
[2014/05/02 01:05:27] Deleting zip file: /srv/www/vvv-ass/wordpress-plugins/htdocs/wp-content/upgrade/dreamobject-backups.zip ...
[2014/05/02 01:05:27] Deleting SQL file: /srv/www/vvv-ass/wordpress-plugins/htdocs/wp-content/upgrade/dreamobject-db-backup.sql ...
[2014/05/02 01:05:27] Removed backup wp-content/uploads/2010/08/unicorn-wallpaper-672x372.jpg from DreamObjects, per user retention choice.
[2014/05/02 01:05:37] Removed backup wp-content/uploads/2010/09/img_0513-1-150x150.jpg from DreamObjects, per user retention choice.
[2014/05/02 01:05:38] Removed backup wp-content/uploads/2010/09/img_0513-1-300x199.jpg from DreamObjects, per user retention choice.
[2014/05/02 01:05:38] Removed backup wp-content/uploads/2010/09/img_0513-1-672x372.jpg from DreamObjects, per user retention choice.
[2014/05/02 01:05:38] Removed backup wp-content/uploads/2010/09/img_0513-1.jpg from DreamObjects, per user retention choice.
[2014/05/02 01:05:38] Removed backup wp-content/uploads/2010/09/img_0747-1024x682.jpg from DreamObjects, per user retention choice.
[2014/05/02 01:05:38] Removed backup wp-content/uploads/2010/09/img_0747-1038x576.jpg from DreamObjects, per user retention choice.
[2014/05/02 01:05:38] Removed backup wp-content/uploads/2010/09/img_0747-150x150.jpg from DreamObjects, per user retention choice.
[2014/05/02 01:05:38] Removed backup wp-content/uploads/2010/09/img_0747-300x199.jpg from DreamObjects, per user retention choice.
[2014/05/02 01:05:38] Removed backup wp-content/uploads/2010/09/img_0747-672x372.jpg from DreamObjects, per user retention choice.
[2014/05/02 01:05:38] Removed backup wp-content/uploads/2010/09/img_0747.jpg from DreamObjects, per user retention choice.
[2014/05/02 01:05:38] Removed backup wp-content/uploads/2010/09/img_0767-150x150.jpg from DreamObjects, per user retention choice.
[2014/05/02 01:05:38] Removed backup wp-content/uploads/2010/09/img_0767-300x199.jpg from DreamObjects, per user retention choice.
[2014/05/02 01:05:39] Removed backup wp-content/uploads/2010/09/img_0767-672x372.jpg from DreamObjects, per user retention choice.
[2014/05/02 01:05:39] Removed backup wp-content/uploads/2010/09/img_0767.jpg from DreamObjects, per user retention choice.
[2014/05/02 01:05:39] Removed backup wp-content/uploads/2010/09/img_8399-1024x682.jpg from DreamObjects, per user retention choice.
[2014/05/02 01:05:39] Removed backup wp-content/uploads/2010/09/img_8399-1038x576.jpg from DreamObjects, per user retention choice.
[2014/05/02 01:05:39] Removed backup wp-content/uploads/2010/09/img_8399-150x150.jpg from DreamObjects, per user retention choice.
[2014/05/02 01:05:39] Removed backup wp-content/uploads/2010/09/img_8399-300x199.jpg from DreamObjects, per user retention choice.
[2014/05/02 01:05:39] Removed backup wp-content/uploads/2010/09/img_8399-672x372.jpg from DreamObjects, per user retention choice.
[2014/05/02 01:05:39] Removed backup wp-content/uploads/2010/09/img_8399.jpg from DreamObjects, per user retention choice.
[2014/05/02 01:05:39] Removed backup wp-content/uploads/2010/09/michelle_049-1024x768.jpg from DreamObjects, per user retention choice.
[2014/05/02 01:05:39] Removed backup wp-content/uploads/2010/09/michelle_049-1038x576.jpg from DreamObjects, per user retention choice.
[2014/05/02 01:05:39] Removed backup wp-content/uploads/2010/09/michelle_049-150x150.jpg from DreamObjects, per user retention choice.
[2014/05/02 01:05:39] Removed backup wp-content/uploads/2010/09/michelle_049-300x225.jpg from DreamObjects, per user retention choice.
[2014/05/02 01:05:40] Removed backup wp-content/uploads/2010/09/michelle_049-672x372.jpg from DreamObjects, per user retention choice.
[2014/05/02 01:05:40] Removed backup wp-content/uploads/2010/09/michelle_049.jpg from DreamObjects, per user retention choice.
[2014/05/02 01:05:40] Removed backup wp-content/uploads/2010/09/windmill-1024x768.jpg from DreamObjects, per user retention choice.
[2014/05/02 01:05:40] Removed backup wp-content/uploads/2010/09/windmill-1038x576.jpg from DreamObjects, per user retention choice.
[2014/05/02 01:05:40] Removed backup wp-content/uploads/2010/09/windmill-150x150.jpg from DreamObjects, per user retention choice.
[2014/05/02 01:05:40] Removed backup wp-content/uploads/2010/09/windmill-300x225.jpg from DreamObjects, per user retention choice.
[2014/05/02 01:05:40] Removed backup wp-content/uploads/2010/09/windmill-672x372.jpg from DreamObjects, per user retention choice.
[2014/05/02 01:05:40] Removed backup wp-content/uploads/2010/09/windmill.jpg from DreamObjects, per user retention choice.
[2014/05/02 01:05:40] Removed backup wp-content/uploads/2012/03/featured-image-horizontal-150x150.jpg from DreamObjects, per user retention choice.
[2014/05/02 01:05:41] Removed backup wp-content/uploads/2012/03/featured-image-horizontal-300x155.jpg from DreamObjects, per user retention choice.
[2014/05/02 01:05:41] Removed backup wp-content/uploads/2012/03/featured-image-horizontal.jpg from DreamObjects, per user retention choice.
[2014/05/02 01:05:41] Removed backup wp-content/uploads/2012/03/featured-image-vertical-150x150.jpg from DreamObjects, per user retention choice.
[2014/05/02 01:05:41] Removed backup wp-content/uploads/2012/03/featured-image-vertical-155x300.jpg from DreamObjects, per user retention choice.
[2014/05/02 01:05:41] Removed backup wp-content/uploads/2012/03/featured-image-vertical-300x372.jpg from DreamObjects, per user retention choice.
[2014/05/02 01:05:41] Removed backup wp-content/uploads/2012/03/featured-image-vertical-300x576.jpg from DreamObjects, per user retention choice.
[2014/05/02 01:05:41] Removed backup wp-content/uploads/2012/03/featured-image-vertical.jpg from DreamObjects, per user retention choice.
[2014/05/02 01:05:41] Removed backup wp-content/uploads/2013/01/image-alignment-1200x4002-1024x341.jpg from DreamObjects, per user retention choice.
[2014/05/02 01:05:41] Removed backup wp-content/uploads/2013/01/image-alignment-1200x4002-1038x400.jpg from DreamObjects, per user retention choice.
[2014/05/02 01:05:41] Removed backup wp-content/uploads/2013/01/image-alignment-1200x4002-150x150.jpg from DreamObjects, per user retention choice.
[2014/05/02 01:05:42] Removed backup wp-content/uploads/2013/01/image-alignment-1200x4002-300x100.jpg from DreamObjects, per user retention choice.
[2014/05/02 01:05:42] Removed backup wp-content/uploads/2013/01/image-alignment-1200x4002-672x372.jpg from DreamObjects, per user retention choice.
[2014/05/02 01:05:42] Removed backup wp-content/uploads/2013/01/image-alignment-1200x4002.jpg from DreamObjects, per user retention choice.
[2014/05/02 01:05:42] Removed backup wp-content/uploads/2013/01/image-alignment-150x150-150x150.jpg from DreamObjects, per user retention choice.
[2014/05/02 01:05:42] Removed backup wp-content/uploads/2013/01/image-alignment-150x150.jpg from DreamObjects, per user retention choice.
[2014/05/02 01:05:42] Removed backup wp-content/uploads/2013/01/image-alignment-300x200-150x150.jpg from DreamObjects, per user retention choice.
[2014/05/02 01:05:42] Removed backup wp-content/uploads/2013/01/image-alignment-300x200.jpg from DreamObjects, per user retention choice.
[2014/05/02 01:05:42] Removed backup wp-content/uploads/2013/01/image-alignment-580x300-150x150.jpg from DreamObjects, per user retention choice.
[2014/05/02 01:05:42] Removed backup wp-content/uploads/2013/01/image-alignment-580x300-300x155.jpg from DreamObjects, per user retention choice.
[2014/05/02 01:05:42] Removed backup wp-content/uploads/2013/01/image-alignment-580x300.jpg from DreamObjects, per user retention choice.
[2014/05/02 01:05:43] Removed backup wp-content/uploads/2013/01/soworthloving-wallpaper-1024x640.jpg from DreamObjects, per user retention choice.
[2014/05/02 01:05:43] Removed backup wp-content/uploads/2013/01/soworthloving-wallpaper-1038x576.jpg from DreamObjects, per user retention choice.
[2014/05/02 01:05:43] Removed backup wp-content/uploads/2013/01/soworthloving-wallpaper-150x150.jpg from DreamObjects, per user retention choice.
[2014/05/02 01:05:43] Removed backup wp-content/uploads/2013/01/soworthloving-wallpaper-300x187.jpg from DreamObjects, per user retention choice.
[2014/05/02 01:05:43] Removed backup wp-content/uploads/2013/01/soworthloving-wallpaper-672x372.jpg from DreamObjects, per user retention choice.
[2014/05/02 01:05:43] Removed backup wp-content/uploads/2013/01/soworthloving-wallpaper.jpg from DreamObjects, per user retention choice.
[2014/05/02 01:05:43] Removed backup wp-content/uploads/2014/04/Screen-Shot-2014-04-29-at-12.24.31-PM-150x150.png from DreamObjects, per user retention choice.
[2014/05/02 01:05:43] Removed backup wp-content/uploads/2014/04/Screen-Shot-2014-04-29-at-12.24.31-PM-300x169.png from DreamObjects, per user retention choice.
[2014/05/02 01:05:43] Removed backup wp-content/uploads/2014/04/Screen-Shot-2014-04-29-at-12.24.31-PM.png from DreamObjects, per user retention choice.
[2014/05/02 01:05:43] Removed backup wp-content/uploads/2014/04/dsc20040724_152504_532-150x150.jpg from DreamObjects, per user retention choice.
[2014/05/02 01:05:43] Removed backup wp-content/uploads/2014/04/dsc20040724_152504_532-300x225.jpg from DreamObjects, per user retention choice.
[2014/05/02 01:05:43] Removed backup wp-content/uploads/2014/04/dsc20040724_152504_532-640x372.jpg from DreamObjects, per user retention choice.
[2014/05/02 01:05:44] Removed backup wp-content/uploads/2014/04/dsc20040724_152504_532.jpg from DreamObjects, per user retention choice.
[2014/05/02 01:05:44] Removed backup wp-content/uploads/2014/04/dsc20050604_133440_34211-150x150.jpg from DreamObjects, per user retention choice.
[2014/05/02 01:05:44] Removed backup wp-content/uploads/2014/04/dsc20050604_133440_34211-300x225.jpg from DreamObjects, per user retention choice.
[2014/05/02 01:05:44] Removed backup wp-content/uploads/2014/04/dsc20050604_133440_34211-640x372.jpg from DreamObjects, per user retention choice.
[2014/05/02 01:05:44] Removed backup wp-content/uploads/2014/04/dsc20050604_133440_34211.jpg from DreamObjects, per user retention choice.
[2014/05/02 01:05:44] Removed backup wp-content/uploads/sites/2/2010/07/originaldixielandjazzbandwithalbernard-stlouisblues.mp3 from DreamObjects, per user retention choice.
[2014/05/02 01:05:44] Removed backup wp-content/uploads/sites/2/2010/08/manhattansummer-150x150.jpg from DreamObjects, per user retention choice.
[2014/05/02 01:05:44] Removed backup wp-content/uploads/sites/2/2010/08/manhattansummer-300x225.jpg from DreamObjects, per user retention choice.
[2014/05/02 01:05:44] Removed backup wp-content/uploads/sites/2/2010/08/manhattansummer-640x372.jpg from DreamObjects, per user retention choice.
[2014/05/02 01:05:44] Removed backup wp-content/uploads/sites/2/2010/08/manhattansummer.jpg from DreamObjects, per user retention choice.
[2014/05/02 01:05:44] Removed backup wp-content/uploads/sites/2/2010/08/triforce-wallpaper-1024x640.jpg from DreamObjects, per user retention choice.
[2014/05/02 01:05:45] Removed backup wp-content/uploads/sites/2/2010/08/triforce-wallpaper-1038x576.jpg from DreamObjects, per user retention choice.
[2014/05/02 01:05:45] Removed backup wp-content/uploads/sites/2/2010/08/triforce-wallpaper-150x150.jpg from DreamObjects, per user retention choice.
[2014/05/02 01:05:45] Removed backup wp-content/uploads/sites/2/2010/08/triforce-wallpaper-300x187.jpg from DreamObjects, per user retention choice.
[2014/05/02 01:05:45] Removed backup wp-content/uploads/sites/2/2010/08/triforce-wallpaper-672x372.jpg from DreamObjects, per user retention choice.
[2014/05/02 01:05:45] Removed backup wp-content/uploads/sites/2/2010/08/triforce-wallpaper.jpg from DreamObjects, per user retention choice.
[2014/05/02 01:05:45] Removed backup wp-content/uploads/sites/2/2010/08/unicorn-wallpaper-1024x768.jpg from DreamObjects, per user retention choice.
[2014/05/02 01:05:45] Removed backup wp-content/uploads/sites/2/2010/08/unicorn-wallpaper-1038x576.jpg from DreamObjects, per user retention choice.
[2014/05/02 01:05:45] Removed backup wp-content/uploads/sites/2/2010/08/unicorn-wallpaper-150x150.jpg from DreamObjects, per user retention choice.
[2014/05/02 01:05:45] Removed backup wp-content/uploads/sites/2/2010/08/unicorn-wallpaper-300x225.jpg from DreamObjects, per user retention choice.
[2014/05/02 01:05:45] Removed backup wp-content/uploads/sites/2/2010/08/unicorn-wallpaper-672x372.jpg from DreamObjects, per user retention choice.
